Category,Multi Asset Allocation,Mutual Fund,Scheme Name,Scheme Code,Primary Benchmark (Most Common)
Equity Scheme,Sectoral/ Thematic,HDFC,HDFC Pharma and Healthcare Fund - IDCW Option,152083,NIFTY 500 TRI
Equity Scheme,Sectoral/ Thematic,HDFC,HDFC Technology Fund - Growth Option,152058,NIFTY IT TRI
Equity Scheme,Sectoral/ Thematic,HDFC,HDFC Technology Fund - IDCW Option,152057,NIFTY IT TRI
Equity Scheme,Sectoral/ Thematic,HDFC,HDFC Transportation and Logistics Fund - Growth Option,151900,NIFTY Transportation & Logistics TRI
Equity Scheme,Sectoral/ Thematic,HDFC,HDFC Transportation and Logistics Fund - IDCW Option,151902,NIFTY Transportation & Logistics TRI
Equity Scheme,ELSS,HDFC,HDFC ELSS Tax saver - Growth Plan,101979,NIFTY 500 TRI
Equity Scheme,ELSS,HDFC,HDFC ELSS Tax saver - IDCW Plan,101980,NIFTY 500 TRI
Debt Scheme,Overnight Fund,HDFC,HDFC Overnight Fund - Growth Option,101996,NIFTY 1D Rate Index
Debt Scheme,Overnight Fund,HDFC,HDFC Overnight Fund - IDCW Option  Daily,101997,NIFTY 1D Rate Index
Debt Scheme,Liquid Fund,HDFC,HDFC Liquid Fund - Growth Plan,100868,NIFTY Liquid Index
Debt Scheme,Liquid Fund,HDFC,HDFC Liquid Fund - IDCW Daily,100875,NIFTY Liquid Index
Debt Scheme,Liquid Fund,HDFC,HDFC Liquid Fund - IDCW Monthly,100876,NIFTY Liquid Index
Debt Scheme,Liquid Fund,HDFC,HDFC Liquid Fund - IDCW Plan Weekly,100874,NIFTY Liquid Index
Debt Scheme,Ultra Short Duration Fund,HDFC,HDFC Ultra Short Term Fund - Daily IDCW Option,145041,NIFTY Ultra Short Duration Debt Index
Debt Scheme,Ultra Short Duration Fund,HDFC,HDFC Ultra Short Term Fund - Growth Option,145040,NIFTY Ultra Short Duration Debt Index
Debt Scheme,Ultra Short Duration Fund,HDFC,HDFC Ultra Short Term Fund - Monthly IDCW Option,145037,NIFTY Ultra Short Duration Debt Index
