Fund Name,Category,Subcategory,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,ISIN,Scheme Code,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Sortino Ratio,Std Dev,Mean Return (%),Alpha Score (/12),Beta Score (/6),Sharpe Score (/12),Sortino Score (/4),Std Dev Score (/6),VR Stars,Score (/40),Risk Category,Fund Rating,Top Holdings Count,Fund URL
Axis Silver ETF,commodity,Commodities: Silver,Direct,87.89,45.27,,Domestic Prices of Silver*,,,89.09,45.84,,-0.76,0.98,0.93,1.85,43.08,45.95,4,3,6,3,0,,16,Moderately High Risk,Average,1,https://www.valueresearchonline.com/funds/42522/
Axis Silver FoF Dir,commodity,Commodities: Silver,Direct,86.1,45.01,,Domestic Prices of Silver*,INF846KA1408,154078,89.09,45.84,,2.86,0.84,1.02,2.07,37.45,43.74,8,5,8,3,0,,24,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/42525/
Bandhan Silver ETF,commodity,Commodities: Silver,Direct,,,,Domestic Prices of Silver*,INF194KB1KN9,154136,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45671/
Bandhan Silver ETF FoF Dir,commodity,Commodities: Silver,Direct,,,,Domestic Prices of Silver*,INF194KB1KN9,154136,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45734/
DSP Silver ETF,commodity,Commodities: Silver,Direct,88.38,45.78,,Domestic Prices of Silver*,INF740KA1VZ0,153487,89.09,45.84,,-0.87,0.99,0.93,1.9,43.3,46.13,4,3,6,3,0,,16,Moderately High Risk,Average,1,https://www.valueresearchonline.com/funds/42419/
DSP Silver ETF FoF Dir,commodity,Commodities: Silver,Direct,86.33,,,Domestic Prices of Silver*,,,89.09,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45137/
Edelweiss Silver ETF,commodity,Commodities: Silver,Direct,87.69,,,Domestic Prices of Silver*,,,89.09,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/43921/
Edelweiss Silver ETF FoF Dir,commodity,Commodities: Silver,Direct,,,,Domestic Prices of Silver*,INF754K01OX5,150581,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45702/
Groww Silver ETF,commodity,Commodities: Silver,Direct,87.07,,,Domestic Prices of Silver*,INF666M01KQ9,153525,89.09,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45150/
Groww Silver ETF FoF Dir,commodity,Commodities: Silver,Direct,82.66,,,Domestic Prices of Silver*,INF666M01KQ9,153525,89.09,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45153/
HDFC Silver ETF,commodity,Commodities: Silver,Direct,87.36,45.1,,Domestic Prices of Silver*,INF179KC1DU7,150737,89.09,45.84,,-0.83,1,0.93,1.89,43.85,46.5,4,3,6,3,0,,16,Moderately High Risk,Average,1,https://www.valueresearchonline.com/funds/42489/
HDFC Silver ETF FoF Dir,commodity,Commodities: Silver,Direct,85.08,44.87,,Domestic Prices of Silver*,,,89.09,45.84,,0.88,0.9,0.97,2.02,39.6,44.19,6,4,6,3,0,,19,Moderately High Risk,Average,1,https://www.valueresearchonline.com/funds/42666/
ICICI Pru Silver ETF,commodity,Commodities: Silver,Direct,88.45,45.93,,Domestic Prices of Silver*,INF109KC1Y98,149775,89.09,45.84,,-0.6,0.98,0.94,1.93,43.01,46.09,4,3,6,3,0,,16,Moderately High Risk,Average,1,https://www.valueresearchonline.com/funds/41982/
ICICI Pru Silver ETF FoF Dir,commodity,Commodities: Silver,Direct,85.53,44.8,,Domestic Prices of Silver*,INF109KC1Y98,149775,89.09,45.84,,3.25,0.83,1.02,2.17,36.99,43.5,10,5,8,3,0,,26,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/42023/
Kotak Silver ETF,commodity,Commodities: Silver,Direct,88.21,45.86,,Domestic Prices of Silver*,INF174KA1MQ3,151603,89.09,45.84,,-0.65,0.98,0.94,1.93,42.94,45.98,4,3,6,3,0,,16,Moderately High Risk,Average,1,https://www.valueresearchonline.com/funds/42858/
Kotak Silver ETF FoF Dir,commodity,Commodities: Silver,Direct,87.26,44.88,,Domestic Prices of Silver*,,,89.09,45.84,,3.17,0.83,1.02,2.17,37.05,43.49,10,5,8,3,0,,26,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/43295/
Mirae Asset Silver ETF,commodity,Commodities: Silver,Direct,87.85,45.69,,Domestic Prices of Silver*,INF769K01QS8,154279,89.09,45.84,,-0.61,0.97,0.94,1.93,42.75,45.84,4,3,6,3,0,,16,Moderately High Risk,Average,1,https://www.valueresearchonline.com/funds/43544/
Mirae Asset Silver ETF FoF Dir,commodity,Commodities: Silver,Direct,,,,Domestic Prices of Silver*,INF769K01QS8,154279,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45902/
Motilal Oswal Silver ETF,commodity,Commodities: Silver,Direct,86.87,,,Domestic Prices of Silver*,,,89.09,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45453/
Nippon India Silver ETF,commodity,Commodities: Silver,Direct,87.74,45.51,,Domestic Prices of Silver*,INF204KC1378,149760,89.09,45.84,,-0.8,0.98,0.93,1.92,42.86,45.74,4,3,6,3,0,,16,Moderately High Risk,Average,1,https://www.valueresearchonline.com/funds/41984/
Nippon India Silver ETF FoF Dir,commodity,Commodities: Silver,Direct,85.23,44.58,,Domestic Prices of Silver*,INF204KC1378,149760,89.09,45.84,,-1.51,0.98,0.92,1.9,43.02,45.15,4,3,6,3,0,,16,Moderately High Risk,Average,1,https://www.valueresearchonline.com/funds/41987/
SBI Silver ETF,commodity,Commodities: Silver,Direct,87.96,,,Domestic Prices of Silver*,INF200KB1233,152735,89.09,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44407/
SBI Silver ETF FoF Dir,commodity,Commodities: Silver,Direct,88.25,,,Domestic Prices of Silver*,,,89.09,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44422/
Tata Silver ETF,commodity,Commodities: Silver,Direct,89.05,,,Domestic Prices of Silver*,INF277KA1943,152293,89.09,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44020/
Tata Silver ETF FoF Dir,commodity,Commodities: Silver,Direct,82.22,,,Domestic Prices of Silver*,,,89.09,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44026/
UTI Silver ETF,commodity,Commodities: Silver,Direct,87.23,44.89,,Domestic Prices of Silver*,INF789F1AYL4,151731,89.09,45.84,,-1.04,0.97,0.93,1.89,42.68,45.31,4,3,6,3,0,,16,Moderately High Risk,Average,1,https://www.valueresearchonline.com/funds/43485/
UTI Silver ETF FoF Dir,commodity,Commodities: Silver,Direct,85.76,44.9,,Domestic Prices of Silver*,,,89.09,45.84,,2.89,0.84,1.01,2.14,37.46,43.66,8,5,8,3,0,,24,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/43487/
Zerodha Silver ETF,commodity,Commodities: Silver,Direct,87.73,,,Domestic Prices of Silver*,INF0R8F01109,153656,89.09,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45052/
Zerodha Silver ETF FoF Dir,commodity,Commodities: Silver,Direct,86.25,,,Domestic Prices of Silver*,INF0R8F01109,153656,89.09,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45264/
360 ONE Gold ETF,commodity,Commodities: Gold,Regular,43.97,,,Domestic Prices of Gold*,,,45.49,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44993/
ABSL Gold ETF,commodity,Commodities: Gold,Regular,44.87,36.23,25.64,Domestic Prices of Gold*,,,45.49,37.14,26.64,-0.43,0.98,1.39,2.38,19.86,33.28,4,3,10,3,2,,22,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/12631/
ABSL Gold Reg,commodity,Commodities: Gold,Regular,43.87,35.47,24.85,Domestic Prices of Gold*,INF209K01PF4,116796,45.49,37.14,26.64,-0.87,0.97,1.36,2.32,19.81,32.69,4,3,10,3,2,2,22,Moderate Risk,Poor,1,https://www.valueresearchonline.com/funds/14217/
Angel One Gold ETF FoF Reg,commodity,Commodities: Gold,Regular,,,,Domestic Prices of Gold*,INF1J2R01106,153828,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45469/
Angel One Gold ETF Reg,commodity,Commodities: Gold,Regular,,,,Domestic Prices of Gold*,INF1J2R01106,153828,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45466/
Axis Gold and Silver Passive FoF Reg,commodity,Commodities: Gold,Regular,,,,Commodities: Gold & Silver*,INF846KA1390,154077,,,,,,,,,,,,,,,,,,,2,https://www.valueresearchonline.com/funds/45709/
Axis Gold ETF,commodity,Commodities: Gold,Regular,44.38,36.03,25.61,Domestic Prices of Gold*,,,45.49,37.14,26.64,-0.4,0.97,1.38,2.43,19.92,33.24,4,3,10,3,2,,22,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/11669/
Axis Gold Reg,commodity,Commodities: Gold,Regular,43.37,35.25,25.04,Domestic Prices of Gold*,,,45.49,37.14,26.64,2.07,0.85,1.49,2.16,17.69,32.05,8,5,10,3,2,4,28,Low Risk,Good,1,https://www.valueresearchonline.com/funds/13393/
Bandhan Gold ETF,commodity,Commodities: Gold,Regular,,,,Domestic Prices of Gold*,,,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45672/
Bandhan Gold ETF FoF Reg,commodity,Commodities: Gold,Regular,,,,Domestic Prices of Gold*,INF194KB1KK5,154130,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45731/
Baroda BNP Paribas Gold ETF,commodity,Commodities: Gold,Regular,44.28,,,Domestic Prices of Gold*,,,45.49,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/43930/
Baroda BNP Paribas Gold ETF FoF Reg,commodity,Commodities: Gold,Regular,42.22,,,Domestic Prices of Gold*,,,45.49,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45421/
Choice Gold ETF,commodity,Commodities: Gold,Regular,,,,Domestic Prices of Gold*,,,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45571/
DSP Gold ETF,commodity,Commodities: Gold,Regular,44.68,36.1,,Domestic Prices of Gold*,INF740KA1TH2,152182,45.49,37.14,,-0.44,0.97,1.39,2.37,19.79,33.18,4,3,10,3,2,,22,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/43492/
DSP Gold ETF FoF Reg,commodity,Commodities: Gold,Regular,43.85,,,Domestic Prices of Gold*,,,45.49,,,,,,,,,,,,,,3,,,Average,1,https://www.valueresearchonline.com/funds/43854/
Edelweiss Gold and Silver ETF FoF Reg,commodity,Commodities: Gold,Regular,66.92,40.7,,Commodities: Gold & Silver*,INF754K01OT3,150579,64.55,40.45,,,,,2.15,,,,,,3,,,3,High Risk,Poor,2,https://www.valueresearchonline.com/funds/42498/
Edelweiss Gold ETF,commodity,Commodities: Gold,Regular,44.31,,,Domestic Prices of Gold*,,,45.49,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/43879/
Edelweiss Gold ETF FoF Reg,commodity,Commodities: Gold,Regular,,,,Domestic Prices of Gold*,INF754K01OT3,150579,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45829/
Groww Gold ETF,commodity,Commodities: Gold,Regular,44.06,,,Domestic Prices of Gold*,INF666M01JA5,153006,45.49,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44631/
Groww Gold ETF FOF Reg,commodity,Commodities: Gold,Regular,42.17,,,Domestic Prices of Gold*,INF666M01JA5,153006,45.49,,,,,,,,,,,,,,3,,,Average,1,https://www.valueresearchonline.com/funds/44660/
HDFC Gold ETF,commodity,Commodities: Gold,Regular,44.64,35.99,25.57,Domestic Prices of Gold*,INF179K01LC5,115934,45.49,37.14,26.64,-0.45,0.98,1.39,2.39,19.88,33.25,4,3,10,3,2,,22,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/11314/
HDFC Gold ETF Fund of Fund Reg,commodity,Commodities: Gold,Regular,43.86,35.48,25.04,Domestic Prices of Gold*,INF179K01LC5,115934,45.49,37.14,26.64,0.83,0.91,1.44,2.28,18.63,32.54,6,4,10,3,2,3,25,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/13410/
