Fund Name,Category,Subcategory,ISIN,Scheme Code,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Std Dev,Mean Return (%),YTM (%),Modified Duration (yrs),Avg Credit Rating,Avg Maturity (yrs),Top Holdings Count,Fund URL,Alpha Score (12),Sharpe Score (12),Std Dev Score (6),Beta Score (6),Sortino Score (4),Total Score (40),Risk Label
Quantum Gold Savings Dir,commodity,Commodities: Gold,INF082J01150,115132,Direct,42.99,32.88,23.11,Domestic Prices of Gold,47.23,34.53,24.8,1.68,0.88,1.38,17.94,30.48,,,,,1,https://www.valueresearchonline.com/funds/12683/,8,10,5,3,N/A,26,Low Risk
SBI Gold ETF,commodity,Commodities: Gold,INF200KA16D8,111954,Direct,43.04,32.72,23.26,Domestic Prices of Gold,47.23,34.53,24.8,-0.62,0.97,1.26,19.66,30.61,,,,,1,https://www.valueresearchonline.com/funds/10382/,4,10,5,5,N/A,24,Low Risk
SBI Gold Dir,commodity,Commodities: Gold,INF200K01RN3,119789,Direct,42.49,32.83,23.22,Domestic Prices of Gold,47.23,34.53,24.8,0.93,0.91,1.34,18.41,30.49,,,,,1,https://www.valueresearchonline.com/funds/16207/,6,10,5,4,N/A,25,Low Risk
Tata Gold ETF,commodity,Commodities: Gold,INF277K01PR6,112277,Direct,42.98,,,Domestic Prices of Gold,47.23,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44015/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Tata Gold ETF FoF Dir,commodity,Commodities: Gold,INF277KA1901,152289,Direct,41.08,,,Domestic Prices of Gold,47.23,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44018/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
The Wealth Company Gold ETF,commodity,Commodities: Gold,INF2F0001370,154092,Direct,,,,Domestic Prices of Gold,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45711/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
The Wealth Company Gold ETF FoF Dir,commodity,Commodities: Gold,INF2F0001412,154093,Direct,,,,Domestic Prices of Gold,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45759/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Union Gold ETF,commodity,Commodities: Gold,INF582M01KS4,153337,Direct,42.74,,,Domestic Prices of Gold,47.23,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44978/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Union Gold ETF FoF Dir,commodity,Commodities: Gold,INF582M01LA0,153340,Direct,41.23,,,Domestic Prices of Gold,47.23,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44981/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
UTI Gold ETF FoF Dir,commodity,Commodities: Gold,INF789F1AWB9,150716,Direct,43,33.21,,Domestic Prices of Gold,47.23,34.53,,3.63,0.81,1.45,17.12,30.58,,,,,1,https://www.valueresearchonline.com/funds/42640/,10,10,5,2,N/A,27,Low Risk
