Fund Name,Category,Subcategory,ISIN,Scheme Code,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Std Dev,Mean Return (%),YTM (%),Modified Duration (yrs),Avg Credit Rating,Avg Maturity (yrs),Top Holdings Count,Fund URL,Alpha Score (12),Sharpe Score (12),Std Dev Score (6),Beta Score (6),Sortino Score (4),Total Score (40),Risk Label
WhiteOak Capital ELSS Tax Saver Dir,equity,equity,INF03VN01621,150587,Direct,0.48,18.24,,BSE 500 TRI,-1.52,12.67,,5.25,0.94,0.8,14.95,17.8,,,,,25,https://www.valueresearchonline.com/funds/42487/,12,6,3,4,N/A,25,Low Risk
Zerodha ELSS Tax Saver Nifty Large Midcap 250 Index Dir,equity,equity,INF0R8F01026,152157,Direct,1.03,,,BSE 500 TRI,-1.52,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/43847/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
360 ONE Flexicap Dir,equity,equity,INF579M01AS1,151796,Direct,4.44,,,BSE 500 TRI,-1.52,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/43547/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
360 ONE Focused Dir,equity,equity,INF579M01902,131580,Direct,1.9,13.12,13.82,BSE 500 TRI,-1.52,12.67,12.33,0.75,0.91,0.51,14.4,13.12,,,,,25,https://www.valueresearchonline.com/funds/28458/,6,2,3,4,N/A,15,Moderately High Risk
ABSL BSE 500 Momentum 50 Index Fund Dir,equity,equity,INF209KC1589,153736,Direct,,,,BSE 500 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45377/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
ABSL BSE 500 Quality 50 Index Dir,equity,equity,INF209KC1613,153740,Direct,,,,BSE 500 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45381/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
ABSL Bal Bhavishya Yojna Dir,equity,equity,INF209KB1E84,146407,Direct,2.86,12.98,10.9,BSE 500 TRI,-1.52,12.67,12.33,0.52,0.97,0.49,15.23,13.29,,,,,25,https://www.valueresearchonline.com/funds/38821/,6,2,3,3,N/A,14,Moderately High Risk
ABSL Flexi Cap Dir,equity,equity,INF209K01XX1,120564,Direct,4.66,16.38,13.38,BSE 500 TRI,-1.52,12.67,12.33,3.59,0.95,0.71,14.66,16.24,,,,,25,https://www.valueresearchonline.com/funds/15741/,10,4,3,4,N/A,21,Moderate Risk
ABSL Focused Dir,equity,equity,INF209K01WE3,119564,Direct,0.49,14.53,12.86,BSE 500 TRI,-1.52,12.67,12.33,2.19,0.9,0.62,14.06,14.48,,,,,25,https://www.valueresearchonline.com/funds/15883/,8,4,3,4,N/A,19,Moderate Risk
ABSL Retirement 30s Dir,equity,equity,INF209KB1I23,146575,Direct,11.79,17.71,13.36,BSE 500 TRI,-1.52,12.67,12.33,4.68,0.99,0.75,15.85,17.62,,,,,25,https://www.valueresearchonline.com/funds/39181/,10,4,3,3,N/A,20,Moderate Risk
Abakkus Flexi Cap Dir,equity,equity,INF2JJD01136,154043,Direct,,,,BSE 500 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45683/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Angel One Nifty Total Market ETF,equity,equity,INF1J2R01023,153330,Direct,-1.21,,,BSE 500 TRI,-1.52,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44964/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Angel One Nifty Total Market Index Dir,equity,equity,INF1J2R01023,153330,Direct,-1.26,,,BSE 500 TRI,-1.52,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44963/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Angel One Nifty Total Market Momentum Quality 50 ETF,equity,equity,INF1J2R01122,153956,Direct,,,,BSE 500 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45605/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Angel One Nifty Total Market Momentum Quality 50 Index Dir,equity,equity,INF1J2R01122,153956,Direct,,,,BSE 500 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45607/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Axis Flexi Cap Dir,equity,equity,INF846K01B28,141925,Direct,2.3,14.19,11.35,BSE 500 TRI,-1.52,12.67,12.33,1.64,0.97,0.56,15.47,14.41,,,,,25,https://www.valueresearchonline.com/funds/34711/,8,2,3,3,N/A,16,Moderately High Risk
