fund_name,plan,vr_id,category,isin,scheme_code,ytm,mac_duration,avg_maturity,avg_credit_rating,ytm_score_10,duration_score_10,maturity_score_10,credit_score_10,total_score_40,risk_category,fund_rating,b1y,b3y,b5y,f1y,f3y,f5y,cr_aaa,cr_cash_eq,cr_sov,cr_unrated,num_securities
JioBlackRock Nifty 8-13 yr G-Sec Index Dir,Direct,45426,--,INF22M001069,153791,7.01,6.9,9.1,GOI/Cash,4,3,4,10,21,Moderate Risk,Average,--,--,--,25,23,20,--,1.38,98.62,--,3
Kotak Gilt Investment Dir,Direct,16354,Debt: Gilt,INF174K01KE4,119759,7.36,7.55,14.67,GOI/Cash,7,1,1,10,19,Moderately High Risk,Average,-0.53,5.93,5.56,-2.17,5.43,5.45,--,17.38,82.62,--,56
Kotak Gilt Investment PF & Trust Dir,Direct,17766,Debt: Gilt,INF174K01KM7,119757,7.36,7.55,14.67,GOI/Cash,7,1,1,10,19,Moderately High Risk,Average,-0.53,5.93,5.56,-2.17,5.44,5.45,--,17.38,82.62,--,56
LIC MF Gilt Dir,Direct,16777,Debt: Gilt,INF767K01EZ3,120282,7.6,11.23,26.73,GOI/Cash,6,2,1,10,19,Moderately High Risk,Average,-0.53,5.93,5.56,-2.53,4.9,4.61,--,2.29,97.71,--,5
LIC MF Nifty 8-13 yr G-Sec ETF,Direct,29111,Debt: Gilt,INF767K01MV5,133307,7.11,6.9,8.91,GOI/Cash,5,3,4,10,22,Moderate Risk,Average,-0.48,5.5,4.9,1.27,6.52,5.38,--,0.39,99.61,--,3
Mirae Asset Nifty 8-13 yr G-Sec ETF,Direct,43473,Debt: Gilt,INF769K01KF8,151695,7.07,6.91,8.83,GOI/Cash,4,3,4,10,21,Moderate Risk,Average,-0.48,5.5,--,1.73,6.7,--,--,4.15,95.85,--,3
Motilal Oswal 5 Year G-Sec FoF Dir,Direct,41759,Debt: Gilt,INF247L01AQ1,149240,--,--,--,GOI/Cash,1,1,1,10,13,High Risk,Poor,-0.53,5.93,--,2.24,6.58,--,--,1.73,98.27,--,1
Motilal Oswal Nifty 5Y Benchmark G-Sec ETF,Direct,41212,Debt: Gilt,INF247L01AQ1,149240,6.76,4.23,4.81,GOI/Cash,3,5,6,10,24,Moderate Risk,Average,-0.48,5.5,4.9,2.89,6.8,5.66,--,1.36,98.64,--,2
Nippon India ETF Nifty 5Y Benchmark G-Sec,Direct,41391,Debt: Gilt,INF204KC1AC0,150920,6.85,4.08,4.72,AAA,3,5,6,10,24,Moderate Risk,Average,-0.48,5.5,4.9,3.22,7.13,5.94,--,1.6,98.11,0.29,3
Nippon India ETF Nifty 8-13 yr G-Sec LT Gilt,Direct,32557,Debt: Gilt,INF204KB1882,139496,7.12,6.85,9.07,GOI/Cash,5,3,4,10,22,Moderate Risk,Average,-0.48,5.5,4.9,1.33,6.57,5.36,--,1.86,98.13,0.01,3
Nippon India Gilt Dir,Direct,16078,Debt: Gilt,INF204K01XP8,118672,7.27,8.31,18.44,GOI/Cash,7,2,2,10,21,Moderate Risk,Average,-0.53,5.93,5.56,-0.79,5.8,5.49,--,11.57,88.23,0.2,41
PGIM India Gilt Dir,Direct,15595,Debt: Gilt,INF223J01ND7,138472,7.11,7.69,15.34,GOI/Cash,6,2,2,10,20,Moderately High Risk,Average,-0.53,5.93,5.56,-1.02,5.97,5.53,--,16.25,83.75,--,17
Quant Gilt Dir,Direct,42968,Debt: Gilt,INF966L01BF7,151228,6.95,5.86,10.74,GOI/Cash,4,3,3,10,20,Moderately High Risk,Average,-0.53,5.93,--,0.57,5.68,--,--,12.59,87.41,--,14
SBI Gilt Dir,Direct,17166,Debt: Gilt,INF200K01SH3,119707,6.12,2.87,5.59,GOI/Cash,3,3,3,10,19,Moderately High Risk,Average,-0.53,5.93,5.56,0.55,6.32,6.2,--,13.53,86.47,--,22
Tata GSF Dir,Direct,17531,Debt: Gilt,INF277K01OX7,119953,7.35,10.96,26.8,GOI/Cash,7,1,1,10,19,Moderately High Risk,Average,-0.53,5.93,5.56,-1.02,5.81,5.63,--,15.15,84.85,--,8
UTI Gilt Dir,Direct,17050,Debt: Gilt,INF789F01TL5,120792,6.18,3.37,7.97,GOI/Cash,4,3,4,10,21,Moderate Risk,Average,-0.53,5.93,5.56,2.18,6.64,5.82,--,13.8,86.2,--,10
UTI Nifty 5 yr Benchmark G-Sec ETF,Direct,44081,Debt: Gilt,INF789F1AZE6,152368,--,--,--,GOI/Cash,1,1,1,10,13,High Risk,Poor,-0.48,--,--,3.06,--,--,--,1.76,98.24,--,1
Union Gilt Dir,Direct,42326,Debt: Gilt,INF582M01HW2,150407,7.62,11.71,--,GOI/Cash,7,1,1,10,19,Moderately High Risk,Average,-0.53,5.93,--,-3.35,4.64,--,--,6.17,93.83,--,3
Zerodha Nifty 8-13 Yr G-Sec ETF,Direct,45448,--,INF0R8F01133,153811,7.13,6.81,9.21,GOI/Cash,5,3,4,10,22,Moderate Risk,Average,--,--,--,25,23,20,--,1.12,98.88,--,3
ABSL CRISIL 10 Year Gilt ETF,Direct,44486,Debt: Gilt with 10 year Constant Duration,INF209KC1142,152802,7.09,6.89,9.13,GOI/Cash,5,2,4,10,21,Moderate Risk,Average,0.73,--,--,0.59,--,--,--,3.71,96.29,--,1
Bandhan Gilt Fund with 10 year Constant Duration Dir,Direct,16728,Debt: Gilt with 10 year Constant Duration,INF194K01P38,118387,7.19,7.31,10.65,GOI/Cash,5,3,4,10,22,Moderate Risk,Average,1.35,6.57,5.5,2.19,7.1,5.78,--,3.5,96.49,0.01,5
DSP 10Y G-Sec Dir,Direct,28175,Debt: Gilt with 10 year Constant Duration,INF740K019I5,131301,7.1,6.98,9.26,GOI/Cash,5,2,4,10,21,Moderate Risk,Average,1.35,6.57,5.5,0.39,5.99,4.59,--,1.93,98.07,--,1
ICICI Pru Constant Maturity Gilt Dir,Direct,27957,Debt: Gilt with 10 year Constant Duration,INF109KA1O37,131061,7.19,7.15,10.04,GOI/Cash,5,2,4,10,21,Moderate Risk,Average,1.35,6.57,5.5,1.76,6.77,5.84,--,3.68,96.32,--,9
ICICI Pru Nifty 10 yr Benchmark G-Sec ETF,Direct,42946,Debt: Gilt with 10 year Constant Duration,INF109KC18O0,151196,7.15,7.11,9.43,GOI/Cash,5,2,4,10,21,Moderate Risk,Average,0.73,6.23,--,0.27,6.08,--,--,0.63,99.37,--,1
SBI Constant Maturity 10-Year Gilt Dir,Direct,17173,Debt: Gilt with 10 year Constant Duration,INF200K01SK7,120137,7.23,7.05,9.53,GOI/Cash,5,2,4,10,21,Moderate Risk,Average,1.35,6.57,5.5,1.2,6.49,5.78,--,1.78,98.22,--,4
SBI Nifty 10Y Benchmark G-Sec ETF,Direct,32486,Debt: Gilt with 10 year Constant Duration,INF200KB1BC3,154372,7.14,6.97,9.52,GOI/Cash,1,1,1,10,13,High Risk,Poor,0.73,6.23,5.16,0.24,6.13,4.72,--,0.46,99.54,--,1
UTI Gilt Fund with 10 year Constant Duration Dir,Direct,42374,Debt: Gilt with 10 year Constant Duration,INF789F1AVR7,150410,7.17,7.07,9.67,GOI/Cash,5,3,4,10,22,Moderate Risk,Average,1.35,6.57,--,1.22,6.5,--,--,2.12,97.88,--,6
UTI Nifty 10 yr Benchmark G-Sec ETF,Direct,44082,Debt: Gilt with 10 year Constant Duration,INF789F1AZF3,152369,--,--,--,GOI/Cash,1,1,1,10,13,High Risk,Poor,0.73,--,--,0.04,--,--,--,0.51,99.49,--,1
360 ONE Liquid Dir,Direct,22358,Debt: Liquid,INF579M01621,125345,6.07,0.14,0.14,AAA,3,10,10,9,32,Low Risk,Good,6.14,6.9,6.09,6.07,6.78,5.96,73.39,1.22,25.1,0.29,33
ABSL Liquid Dir,Direct,15800,Debt: Liquid,INF209K01VA3,119568,6.38,0.1,0.1,AAA,4,10,10,9,33,Low Risk,Good,6.14,6.9,6.09,6.29,7.01,6.19,93.11,-6.7,13.18,0.25,186
Abakkus Liquid Dir,Direct,45690,--,INF2JJD01029,154051,5.89,0.07,0.07,AAA,1,1,1,10,13,High Risk,Poor,--,--,--,38,35,35,63.64,16.1,20.18,0.08,24
Angel One Nifty 1D Rate Liquid ETF-Growth,Direct,45082,Debt: Liquid,INF1J2R01056,153451,--,--,--,Cash,1,10,10,10,31,Low Risk,Good,5.75,--,--,5.08,--,--,--,100,--,--,--
Axis Liquid Dir,Direct,15748,Debt: Liquid,INF846K01CX4,120389,6.23,0.1,0.1,AAA,4,10,10,9,33,Low Risk,Good,6.14,6.9,6.09,6.3,7.01,6.18,86.93,1.01,11.86,0.2,155
Bajaj Finserv Liquid Dir,Direct,43593,Debt: Liquid,INF0QA701011,151833,6.07,0.1,0.1,AAA,3,10,10,9,32,Low Risk,Good,6.14,--,--,6.23,--,--,79.18,5.81,14.74,0.27,67
Bajaj Finserv Nifty 1D Rate Liquid ETF-Growth,Direct,44331,Debt: Liquid,INF0QA701011,151833,--,--,--,CASH,1,1,1,10,13,High Risk,Poor,5.75,--,--,4.95,--,--,3.82,96.18,--,--,1
Bandhan Liquid Dir,Direct,16472,Debt: Liquid,INF194K01I60,118364,6.21,0.1,0.1,AAA,4,10,10,9,33,Low Risk,Good,6.14,6.9,6.09,6.22,6.95,6.13,91.85,-9.21,17.11,0.25,98
Bank of India Liquid Dir,Direct,16274,Debt: Liquid,INF761K01785,119369,6.11,0.11,0.11,AAA,1,10,10,9,30,Low Risk,Good,6.14,6.9,6.09,6.23,6.98,6.16,80.43,2.07,17.18,0.32,32
Baroda BNP Paribas Liquid Dir,Direct,15774,Debt: Liquid,INF955L01AL0,119415,6.17,0.08,0.08,AAA,3,10,10,9,32,Low Risk,Good,6.14,6.9,6.09,6.2,6.94,6.15,86.77,-6.79,19.13,0.23,79
Canara Robeco Liquid Dir,Direct,16615,Debt: Liquid,INF760K01FU6,118305,6.18,0.11,0.11,AAA,4,10,10,9,33,Low Risk,Good,6.14,6.9,6.09,6.26,6.98,6.14,86.21,4.45,9.12,0.22,41
Capitalmind Liquid Dir,Direct,45638,--,INF226401034,154011,6.11,0.08,0.08,AAA,3,10,10,9,32,Low Risk,Good,--,--,--,38,35,35,73.25,3.57,23.04,0.14,15
