Fund Name,Category,Subcategory,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,ISIN,Scheme Code,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Sortino Ratio,Std Dev,Mean Return (%),No. of Stocks,Top 10 Stocks (%),Top 5 Stocks (%),Top 3 Sectors (%),No. of Securities,Portfolio P/E,Portfolio P/B,Alpha Score (/12),Beta Score (/6),Sharpe Score (/12),Sortino Score (/4),Std Dev Score (/6),VR Stars,Score (/40),Risk Category,Fund Rating,Top Holdings Count,Fund URL
The Wealth Company Ethical Dir,equity,equity,Direct,,,,BSE 500 TRI*,INF2F0001214,153895,,,,,,,,,,44,32.52,17.4,61.27,,33.8,5.48,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45525/
UTI BSE Housing Index Dir,equity,equity,Direct,-6.69,8.2,,BSE 500 TRI*,INF789F1AYR1,151764,2.44,11.32,,-2.76,1.17,0.27,0.35,19.36,11,26,50.13,26.4,82.9,,38.08,4.13,2,0,2,0,2,,6,High Risk,Poor,25,https://www.valueresearchonline.com/funds/43521/
Union Active Momentum Dir,equity,equity,Direct,19.19,,,BSE 500 TRI*,INF582M01KG9,153109,2.44,,,,,,,,,41,29.01,15.98,63.42,,38.23,5.83,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44784/
WhiteOak Capital Quality Equity Dir,equity,equity,Direct,-0.47,,,BSE 500 TRI*,INF03VN01977,153189,2.44,,,,,,,,,56,45.4,31.36,54.48,,38.35,5.79,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44853/
WhiteOak Capital Special Opportunities Dir,equity,equity,Direct,16.66,,,BSE 500 TRI*,INF03VN01902,152644,2.44,,,,,,,,,87,29.31,18.22,54.33,,28.05,3.42,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44333/
ABSL MNC Dir,equity,equity,Direct,-4.73,7.71,6.5,BSE 500 TRI*,INF209K01VT3,119646,2.44,11.32,10.45,-2.89,0.96,0.23,0.32,15.97,9.41,66,35.98,20.59,56.64,,35.81,6.14,2,3,2,0,3,,10,High Risk,Poor,25,https://www.valueresearchonline.com/funds/15872/
HDFC MNC Dir,equity,equity,Direct,4,7.76,,BSE 500 TRI*,INF179KC1FC0,151458,2.44,11.32,,-2.87,0.99,0.24,0.29,16.2,9.64,42,51.16,33.59,67.67,,38.12,7.62,2,3,2,0,3,,10,High Risk,Poor,25,https://www.valueresearchonline.com/funds/43179/
ICICI Pru MNC Dir,equity,equity,Direct,8.16,11.58,12.29,BSE 500 TRI*,INF109KC1D93,147346,2.44,11.32,10.45,1.31,0.83,0.52,0.6,13.48,12.73,54,46.11,27.8,65.13,,29.12,5.52,6,5,2,0,4,,17,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/39977/
Kotak MNC Dir,equity,equity,Direct,22.4,,,BSE 500 TRI*,INF174KA1TG9,152910,2.44,,,,,,,,,43,41.53,24.01,62.45,,40.27,7.25,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44579/
Kotak Nifty MNC ETF,equity,equity,Direct,8.65,14.12,,BSE 500 TRI*,INF174K01KH7,123693,2.44,11.32,,3.44,0.98,0.61,0.71,16.79,15.93,30,64.04,43.43,75.35,,32.69,7.42,10,3,4,0,3,,20,Moderate Risk,Average,25,https://www.valueresearchonline.com/funds/42418/
Motilal Oswal Nifty MNC ETF,equity,equity,Direct,,,,BSE 500 TRI*,INF247L01247,124234,,,,,,,,,,30,63.99,43.37,75.2,,32.69,7.42,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45678/
Nippon India MNC Dir,equity,equity,Direct,4.24,,,BSE 500 TRI*,INF204KC1FR7,153693,2.44,,,,,,,,,35,55.16,33.62,58.13,,33.84,6.27,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45296/
SBI MNC Dir,equity,equity,Direct,16.8,8.15,8.67,BSE 500 TRI*,INF200K01SN1,119711,2.44,11.32,10.45,-1.45,0.76,0.28,0.42,13.59,9.49,47,37.45,21.53,68.61,,41.17,6.3,4,5,2,0,4,,15,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/16224/
UTI MNC Dir,equity,equity,Direct,1.48,9.79,8.62,BSE 500 TRI*,INF789F01UD0,120682,2.44,11.32,10.45,-0.67,0.9,0.38,0.45,14.52,11.23,60,41.17,27.32,57.78,,33.06,6.15,4,4,2,0,3,,13,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/15820/
Baroda BNP Paribas Energy Opportunities Dir,equity,equity,Direct,5.26,,,BSE Energy TRI*,INF251K01UJ8,153225,4.34,,,,,,,,,32,53.76,33.28,94.31,,16.9,2.18,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44850/
DSP Natural Resources and New Energy Dir,equity,equity,Direct,22.33,20.24,16.73,BSE Energy TRI*,INF740K01QA7,119028,4.34,14.39,11.73,9.17,0.63,0.97,1.66,15.84,21.03,24,60.16,35.13,80.01,,12.35,1.61,12,6,6,3,3,,30,Low Risk,Good,25,https://www.valueresearchonline.com/funds/16988/
ICICI Pru Energy Opportunities Dir,equity,equity,Direct,18.11,,,BSE Energy TRI*,INF109KC12W6,152728,4.34,,,,,,,,,80,42.72,30.56,89.6,,17.21,2.23,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44418/
Kotak Energy Opportunities Dir,equity,equity,Direct,8.07,,,BSE Energy TRI*,INF174KA1VX0,153447,4.34,,,,,,,,,38,51.67,31.72,85.62,,17.06,2.33,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45066/
Mirae Asset Nifty Energy ETF,equity,equity,Direct,,,,BSE Energy TRI*,INF769K01GK6,148529,,,,,,,,,,40,59.54,41,97.55,,15.85,2.12,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45587/
Motilal Oswal Nifty Energy ETF,equity,equity,Direct,,,,BSE Energy TRI*,INF247L01247,124234,,,,,,,,,,40,59.52,40.99,97.55,,15.85,2.12,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45556/
SBI Energy Opportunities Dir,equity,equity,Direct,8.94,,,BSE Energy TRI*,INF200KB1126,152417,4.34,,,,,,,,,36,58.28,35.61,88.04,,15.23,1.88,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44146/
Tata Resources & Energy Dir,equity,equity,Direct,11.13,16.12,13.15,BSE Energy TRI*,INF277K015B9,135813,4.34,14.39,11.73,4.4,0.72,0.65,1.12,17.67,17.24,45,42.62,24.48,93.93,,20.32,2.36,10,6,4,2,2,,24,Moderate Risk,Average,25,https://www.valueresearchonline.com/funds/31364/
ABSL ESG Integration Strategy Dir,equity,equity,Direct,3.03,11.45,8.13,BSE 100 TRI*,INF209KB1U76,148637,-0.35,9.89,9.14,1.77,1,0.48,0.62,14.95,12.9,53,39.19,24.42,74.23,,26.4,3.56,8,3,2,0,3,,16,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/41221/
Axis ESG Integration Strategy Dir,equity,equity,Direct,0.49,9.51,6.15,BSE 100 TRI*,INF846K01W23,147928,-0.35,9.89,9.14,0.23,0.9,0.38,0.48,13.44,10.82,42,41.1,25.63,68.57,,27.25,3.56,6,4,2,0,4,,16,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/40536/
Baroda BNP Paribas ESG Best-in-class strategy Dir,equity,equity,Direct,,,,BSE 100 TRI*,INF251K01VP3,154195,,,,,,,,,,50,41.02,26.76,66.71,,26.53,4.2,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45837/
ICICI Pru ESG Exclusionary Strategy Dir,equity,equity,Direct,-2.63,12.3,10.19,BSE 100 TRI*,INF109KC1O09,148516,-0.35,9.89,9.14,2.63,0.97,0.54,0.81,14.61,13.6,54,48.87,32.14,58.95,,25.52,3.33,8,3,2,0,3,,16,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/41127/
Invesco India ESG Integration Strategy Dir,equity,equity,Direct,0.7,10.21,8.17,BSE 100 TRI*,INF205KA1338,148751,-0.35,9.89,9.14,0.71,1.01,0.4,0.52,15.48,11.88,40,43.38,25.88,77.93,,31.34,4.48,6,3,2,0,3,,14,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/41339/
Kotak ESG Exclusionary Strategy Dir,equity,equity,Direct,-0.72,9.65,7.75,BSE 100 TRI*,INF174KA1FI4,148606,-0.35,9.89,9.14,0.53,0.94,0.41,0.48,13.79,11.33,46,49.35,29.58,64.18,,22.54,3.39,6,4,2,0,4,,16,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/41202/
Mirae Asset Nifty 100 ESG Sector Leaders ETF,equity,equity,Direct,-3.28,8.67,6.68,BSE 100 TRI*,INF769K01GQ3,148574,-0.35,9.89,9.14,-0.96,0.97,0.31,0.42,13.95,9.99,60,54.99,39.9,67.69,,23.12,3.1,4,3,2,0,4,,13,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/41157/
Mirae Asset Nifty 100 ESG Sector Leaders FoF Dir,equity,equity,Direct,-3.33,8.66,6.6,BSE 100 TRI*,INF769K01GQ3,148574,-0.35,9.89,9.14,-1.08,0.97,0.3,0.41,13.96,9.85,,,,,,,,4,3,2,0,4,,13,Moderately High Risk,Average,1,https://www.valueresearchonline.com/funds/41160/
Quant ESG Integration Strategy Dir,equity,equity,Direct,24.88,18.03,18.63,BSE 100 TRI*,INF966L01AD4,148564,-0.35,9.89,9.14,7.54,1.16,0.67,1.08,20.57,19.55,17,76.27,44.83,73.29,,28.72,3.49,12,0,4,2,2,,20,Moderate Risk,Average,13,https://www.valueresearchonline.com/funds/41165/
Quantum ESG Best In Class Strategy Dir,equity,equity,Direct,-2.57,8.82,7.7,BSE 100 TRI*,INF082J01382,147372,-0.35,9.89,9.14,-0.65,1.03,0.32,0.4,15.4,10.64,52,34.64,21.19,67.65,,33.13,4.72,4,3,2,0,3,,12,High Risk,Poor,25,https://www.valueresearchonline.com/funds/40010/
SBI ESG Exclusionary Strategy Dir,equity,equity,Direct,1.47,9.82,8.61,BSE 100 TRI*,INF200K01SE0,119709,-0.35,9.89,9.14,0.3,0.99,0.39,0.46,14.49,11.36,44,48.17,29.64,64.4,,25.38,3.73,6,3,2,0,3,,14,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/16219/
WhiteOak Capital ESG Best-In-Class Strategy Dir,equity,equity,Direct,-1.08,,,BSE 100 TRI*,INF03VN01951,152962,-0.35,,,,,,,,,56,47.3,33.2,63.13,,30.81,4.29,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44645/
ABSL Nifty PSE ETF,equity,equity,Direct,5.13,,,BSE PSU TRI*,INF209K01YN0,119550,12.02,,,,,,,,,20,77.05,50.64,89.55,,12.01,1.81,,,,,,,,,,20,https://www.valueresearchonline.com/funds/44301/
ABSL PSU Equity Dir,equity,equity,Direct,15.86,21.25,23.97,BSE PSU TRI*,INF209KB1O82,147844,12.02,22.78,25.27,-0.37,0.96,0.78,1.31,23.28,23.94,33,63.19,43.35,89.45,,11.54,1.69,4,3,4,2,0,,13,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/40480/
CPSE ETF,equity,equity,Direct,4.81,22.92,28.77,BSE PSU TRI*,INF209KB16F2,149780,12.02,22.78,25.27,2.02,0.88,0.85,1.62,22.42,24.68,11,99.08,86.34,99.8,,13.15,1.92,8,4,6,3,0,,21,Moderate Risk,Average,11,https://www.valueresearchonline.com/funds/25711/
Groww Nifty India Railways PSU ETF,equity,equity,Direct,-17.97,,,BSE PSU TRI*,INF666M01JK4,153230,12.02,,,,,,,,,17,93.42,75.27,96.4,,22.29,2.75,,,,,,,,,,17,https://www.valueresearchonline.com/funds/44875/
Groww Nifty India Railways PSU Index Dir,equity,equity,Direct,-18.09,,,BSE PSU TRI*,INF666M01JK4,153230,12.02,,,,,,,,,17,93.57,75.39,96.54,,14.14,1.76,,,,,,,,,,17,https://www.valueresearchonline.com/funds/44878/
Groww Nifty PSE ETF,equity,equity,Direct,,,,BSE PSU TRI*,INF666M01NR1,154164,,,,,,,,,,20,77.1,50.66,89.6,,12.01,1.81,,,,,,,,,,20,https://www.valueresearchonline.com/funds/45783/
Groww Nifty PSE ETF FOF Dir,equity,equity,Direct,,,,BSE PSU TRI*,INF666M01NR1,154164,,,,,,,,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45786/
ICICI Pru PSU Equity Dir,equity,equity,Direct,11.14,22.23,,BSE PSU TRI*,INF109KC12I5,150539,12.02,22.78,,1.61,0.83,0.88,1.51,20.06,23.39,48,61.84,44.12,86.69,,11.59,1.66,8,5,6,3,2,,24,Moderate Risk,Average,25,https://www.valueresearchonline.com/funds/42451/
Invesco India PSU Equity Dir,equity,equity,Direct,8.17,21.11,21.61,BSE PSU TRI*,INF205K01NG5,120395,12.02,22.78,25.27,-0.79,0.96,0.75,1.21,23.68,23.47,27,57.33,36.04,86.92,,19.44,2.56,4,3,4,2,0,,13,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/16831/
Kotak BSE PSU Index Dir,equity,equity,Direct,11.5,,,BSE PSU TRI*,INF174KA1SL1,152755,12.02,,,,,,,,,61,61.23,44.29,90.23,,10.89,1.66,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44430/
Motilal Oswal Nifty PSE ETF,equity,equity,Direct,4.73,,,BSE PSU TRI*,INF247L01247,124234,12.02,,,,,,,,,20,76.91,50.54,89.37,,12.02,1.81,,,,,,,,,,20,https://www.valueresearchonline.com/funds/45230/
Quant PSU Dir,equity,equity,Direct,11.41,,,BSE PSU TRI*,INF966L01DT4,152415,12.02,,,,,,,,,13,83.48,47.62,77.04,,12.03,1.56,,,,,,,,,,10,https://www.valueresearchonline.com/funds/44142/
SBI PSU Dir,equity,equity,Direct,12.09,21.31,23.88,BSE PSU TRI*,INF200K01UY4,119732,12.02,22.78,25.27,0.2,0.92,0.81,1.39,22.35,23.72,24,74.42,51.74,91.88,,12.2,1.74,6,4,6,2,0,,18,Moderately High Risk,Average,24,https://www.valueresearchonline.com/funds/16311/
ABSL Consumption Dir,equity,equity,Direct,-6.08,9.69,10.01,BSE 500 TRI*,INF209K01WC7,119591,2.44,11.32,10.45,-1.14,0.96,0.35,0.45,15.57,11.21,68,39.44,24.12,71.62,,39.29,6.13,4,3,2,0,3,2,12,High Risk,Poor,25,https://www.valueresearchonline.com/funds/15834/
Axis Consumption Dir,equity,equity,Direct,-5.61,,,BSE 500 TRI*,INF846K013X0,152805,2.44,,,,,,,,,55,52.16,34.77,76.7,,46.25,7.78,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44466/
Axis NIFTY India Consumption ETF,equity,equity,Direct,-5.8,12.14,,BSE 500 TRI*,INF204KA1U61,134552,2.44,11.32,,1.06,1,0.48,0.6,16.56,13.65,30,59.54,38.37,82.21,,38.76,7.2,6,3,2,0,3,,14,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/41685/
Bajaj Finserv Consumption Dir,equity,equity,Direct,-3.8,,,BSE 500 TRI*,INF0QA701946,153075,2.44,,,,,,,,,53,39.05,25.02,76.1,,32.68,5.55,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44689/
Bank of India Consumption Dir,equity,equity,Direct,0.71,,,BSE 500 TRI*,INF761K01GI7,153139,2.44,,,,,,,,,36,54.49,35.35,75.74,,34.25,6.39,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44808/
Baroda BNP Paribas India Consumption Dir,equity,equity,Direct,-6.17,10.9,11.02,BSE 500 TRI*,INF251K01PT7,150266,2.44,11.32,10.45,0.32,0.94,0.43,0.52,15.65,12.47,38,53.03,33.84,83.81,,30.13,7.19,6,4,2,0,3,3,15,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/37339/
Canara Robeco Consumer Trends Dir,equity,equity,Direct,-2.89,11.58,11.61,BSE 500 TRI*,INF760K01DU1,118273,2.44,11.32,10.45,0.31,1.01,0.45,0.58,16.07,12.97,42,45.02,27.73,71.53,,36.71,5.13,6,3,2,0,3,3,14,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/16600/
Edelweiss Consumption Dir,equity,equity,Direct,-3,,,BSE 500 TRI*,INF754K01TY2,153214,2.44,,,,,,,,,45,45.92,29.59,78.71,,45.25,7.64,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44882/
Groww Nifty Non-Cyclical Consumer Index Dir,equity,equity,Direct,-10.4,,,BSE 500 TRI*,INF666M01IE9,152637,2.44,,,,,,,,,30,66.43,44.76,87.82,,55.87,9.71,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44325/
HDFC Consumption Dir,equity,equity,Direct,-7.13,11.68,,BSE 500 TRI*,INF179KC1GO3,151804,2.44,11.32,,0.77,0.95,0.45,0.61,16.26,13.01,51,54.49,36.84,85.79,,40.87,7.19,6,4,2,0,3,4,15,Moderately High Risk,Good,25,https://www.valueresearchonline.com/funds/43559/
HDFC Nifty India Consumption Index Dir,equity,equity,Direct,,,,BSE 500 TRI*,INF179KC1KA4,154179,,,,,,,,,,30,58.92,37.97,81.37,,42.2,7.7,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45800/
HSBC Consumption Dir,equity,equity,Direct,3.68,17.02,,BSE 500 TRI*,INF336L01QZ9,152032,2.44,11.32,,,,,,,,50,41.68,26.18,79.71,,52.62,7.38,,,,,,,,,,25,https://www.valueresearchonline.com/funds/43710/
ICICI Pru Bharat Consumption Dir,equity,equity,Direct,-4.13,10.85,13.7,BSE 500 TRI*,INF109KC1YD4,146951,2.44,11.32,10.45,0.21,0.93,0.44,0.54,15.18,12.3,62,50.4,33.66,81.56,,40.38,6.91,6,4,2,0,3,4,15,Moderately High Risk,Good,25,https://www.valueresearchonline.com/funds/39672/
ICICI Pru Nifty India Consumption ETF,equity,equity,Direct,-5.64,12.35,,BSE 500 TRI*,INF090I01VZ8,148304,2.44,11.32,,1.25,1,0.49,0.61,16.59,13.84,30,59.57,38.39,82.25,,38.76,7.2,6,3,2,0,3,,14,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/41802/
ITI Bharat Consumption Dir,equity,equity,Direct,1.39,,,BSE 500 TRI*,INF00XX01DG1,153260,2.44,,,,,,,,,53,41.59,26.37,74.15,,29.61,6.66,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44922/
Invesco India Consumption Dir,equity,equity,Direct,,,,BSE 500 TRI*,INF205KA1BI6,153900,,,,,,,,,,39,39.03,22.65,67.42,,57.75,8.31,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45529/
Kotak Consumption Dir,equity,equity,Direct,-1.59,,,BSE 500 TRI*,INF174KA1PP8,152169,2.44,,,,,,,,,42,49.46,32.58,70.52,,38.26,5.12,,,,,,,,,,25,https://www.valueresearchonline.com/funds/43860/
Kotak NIFTY India Consumption ETF,equity,equity,Direct,-5.49,12.5,,BSE 500 TRI*,INF204KA1U61,134552,2.44,11.32,,1.38,1,0.5,0.62,16.59,13.97,30,59.56,38.38,82.27,,38.76,7.2,6,3,2,0,3,,14,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/42398/
LIC MF Consumption Dir,equity,equity,Direct,,,,BSE 500 TRI*,INF767K01SD0,153948,,,,,,,,,,50,28.28,15.38,65.2,,32.08,5.75,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45568/
Mahindra Manulife Consumption Dir,equity,equity,Direct,-5.24,11,11.71,BSE 500 TRI*,INF955L01JF3,154679,2.44,11.32,10.45,0.13,0.96,0.43,0.51,15.75,12.42,48,45.15,29.14,83.5,,33.43,6.68,6,3,2,0,3,3,14,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/37847/
Mirae Asset Great Consumer Dir,equity,equity,Direct,-3.94,11.55,12.88,BSE 500 TRI*,INF769K01BL5,118837,2.44,11.32,10.45,0.56,1.02,0.45,0.55,17.03,13.31,40,53.86,34.45,84.73,,48.02,7.17,6,3,2,0,2,4,13,Moderately High Risk,Good,25,https://www.valueresearchonline.com/funds/16584/
Mirae Asset Nifty India New Age Consumption ETF,equity,equity,Direct,-1.37,,,BSE 500 TRI*,INF769K01NP1,153192,2.44,,,,,,,,,75,43.97,26.13,78.14,,25.04,6.08,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44832/
Mirae Asset Nifty India New Age Consumption ETF FoF Dir,equity,equity,Direct,-1.53,,,BSE 500 TRI*,INF769K01NP1,153192,2.44,,,,,,,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44835/
Motilal Oswal Consumption Dir,equity,equity,Direct,,,,BSE 500 TRI*,INF247L01GA2,153025,,,,,,,,,,30,51.35,30.87,68.21,,55.41,8.14,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45543/
Motilal Oswal Nifty MidSmall India Consumption Index Dir,equity,equity,Direct,-6.11,,,BSE 500 TRI*,INF247L01DU7,153025,2.44,,,,,,,,,30,49.22,28.83,64.65,,27.51,7.56,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44680/
Nippon India Consumption Dir,equity,equity,Direct,-6.41,10.13,12.72,BSE 500 TRI*,INF204K01G52,118724,2.44,11.32,10.45,-0.48,0.98,0.38,0.49,16.42,11.96,44,48.36,31.03,83.6,,48.22,7.89,4,3,2,0,3,4,12,High Risk,Good,25,https://www.valueresearchonline.com/funds/16131/
Nippon India ETF Nifty India Consumption,equity,equity,Direct,-5.73,12.23,11.26,BSE 500 TRI*,INF090I01VZ8,148304,2.44,11.32,10.45,1.14,1,0.48,0.61,16.57,13.73,30,59.55,38.38,82.23,,38.76,7.2,6,3,2,0,3,,14,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/25700/
Quant Consumption Dir,equity,equity,Direct,3.84,,,BSE 500 TRI*,INF966L01DN7,152336,2.44,,,,,,,,,16,78.64,43.51,68.42,,36.9,4,,,,,,,,,,13,https://www.valueresearchonline.com/funds/44053/
SBI Consumption Opportunities Dir,equity,equity,Direct,-11.5,6.12,12.66,BSE 500 TRI*,INF200K01RM5,120575,2.44,11.32,10.45,-4.56,1,0.14,0.2,16.71,8.05,49,40.77,22.72,79.79,,46.82,7.01,2,3,2,0,3,2,10,High Risk,Poor,25,https://www.valueresearchonline.com/funds/17525/
SBI Nifty Consumption ETF,equity,equity,Direct,-5.69,12.28,11.28,BSE 500 TRI*,INF200K01SK7,120137,2.44,11.32,10.45,1.19,1,0.49,0.61,16.59,13.78,30,59.55,38.38,82.26,,38.76,7.2,6,3,2,0,3,,14,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/41572/
SBI Nifty India Consmpn Index Dir,equity,equity,Direct,-5.87,,,BSE 500 TRI*,INF200KB1449,153015,2.44,,,,,,,,,30,59.66,38.45,82.38,,42.2,7.7,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44672/
Sundaram Consumption Dir,equity,equity,Direct,-4.83,10.06,11.57,BSE 500 TRI*,INF903J017I5,134363,2.44,11.32,10.45,-0.47,0.96,0.37,0.47,16.5,11.86,36,54.95,34.97,70.46,,48.03,8.02,4,3,2,0,3,2,12,High Risk,Poor,25,https://www.valueresearchonline.com/funds/16163/
Tata BSE Multicap Consmpn 50:30:20 Index Dir,equity,equity,Direct,,,,BSE 500 TRI*,INF277KA1EP8,154066,,,,,,,,,,100,33.48,21.65,84.64,,31.31,6.52,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45705/
Tata India Consumer Dir,equity,equity,Direct,4.19,15.59,14.26,BSE 500 TRI*,INF277K013A6,135805,2.44,11.32,10.45,4.19,0.98,0.65,0.87,16.95,16.66,35,49.85,31.65,78.53,,52.89,8.63,10,3,4,0,3,5,20,Moderate Risk,Excellent,25,https://www.valueresearchonline.com/funds/31360/
UTI India Consumer Dir,equity,equity,Direct,-2.65,11.39,9.35,BSE 500 TRI*,INF789F01VF3,120780,2.44,11.32,10.45,0.55,1,0.45,0.55,16.63,13.13,42,55.29,37.71,80.51,,44.44,7.17,6,3,2,0,3,1,14,Moderately High Risk,Poor,25,https://www.valueresearchonline.com/funds/15894/
Union Consumption Dir,equity,equity,Direct,,,,BSE 500 TRI*,INF582M01MH3,154020,,,,,,,,,,43,46.06,29.06,73.71,,52.21,7.5,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45669/
WhiteOak Capital Consumption Opportunities Dir,equity,equity,Direct,,,,BSE 500 TRI*,INF03VN01AD3,154161,,,,,,,,,,49,48.44,33.97,77.73,,47.17,7.26,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45780/
360 ONE Silver ETF,equity,equity,Direct,87.63,,,Domestic Prices of Silver*,INF579M01266,122715,89.09,,,,,,,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45054/
ABSL Silver ETF,equity,equity,Direct,88.31,45.93,,Domestic Prices of Silver*,INF209KB16F2,149780,89.09,45.84,,-0.73,0.99,0.94,1.91,43.22,46.2,,,,,,,,4,3,6,3,0,,16,Moderately High Risk,Average,1,https://www.valueresearchonline.com/funds/42016/
ABSL Silver ETF FoF Dir,equity,equity,Direct,85.33,44.71,,Domestic Prices of Silver*,INF209KB16F2,149780,89.09,45.84,,2.4,0.85,1,2.12,37.82,43.64,,,,,,,,8,5,8,3,0,,24,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/42019/
Angel One Silver ETF,equity,equity,Direct,,,,Domestic Prices of Silver*,INF1J2R01155,154206,,,,,,,,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45828/
Angel One Silver ETF FoF Dir,equity,equity,Direct,,,,Domestic Prices of Silver*,INF1J2R01155,154206,,,,,,,,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45827/
Axis Silver ETF,equity,equity,Direct,87.89,45.27,,Domestic Prices of Silver*,INF846K01CR6,120438,89.09,45.84,,-0.76,0.98,0.93,1.85,43.08,45.95,,,,,,,,4,3,6,3,0,,16,Moderately High Risk,Average,1,https://www.valueresearchonline.com/funds/42522/
Axis Silver FoF Dir,equity,equity,Direct,86.1,45.01,,Domestic Prices of Silver*,INF846K01CR6,120438,89.09,45.84,,2.86,0.84,1.02,2.07,37.45,43.74,,,,,,,,8,5,8,3,0,,24,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/42525/
Bandhan Silver ETF,equity,equity,Direct,,,,Domestic Prices of Silver*,INF194KB1KN9,154136,,,,,,,,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45671/
Bandhan Silver ETF FoF Dir,equity,equity,Direct,,,,Domestic Prices of Silver*,INF194KB1KN9,154136,,,,,,,,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45734/
DSP Silver ETF,equity,equity,Direct,88.38,45.78,,Domestic Prices of Silver*,INF740KA1VZ0,153487,89.09,45.84,,-0.87,0.99,0.93,1.9,43.3,46.13,,,,,,,,4,3,6,3,0,,16,Moderately High Risk,Average,1,https://www.valueresearchonline.com/funds/42419/
DSP Silver ETF FoF Dir,equity,equity,Direct,86.33,,,Domestic Prices of Silver*,INF740KA1VZ0,153487,89.09,,,,,,,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45137/
Edelweiss Silver ETF,equity,equity,Direct,87.69,,,Domestic Prices of Silver*,INF754K01VZ5,154072,89.09,,,,,,,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/43921/
Edelweiss Silver ETF FoF Dir,equity,equity,Direct,,,,Domestic Prices of Silver*,INF754K01VZ5,154072,,,,,,,,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45702/
