Fund Name,Category,Subcategory,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,ISIN,Scheme Code,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Sortino Ratio,Std Dev,Mean Return (%),No. of Stocks,Top 10 Stocks (%),Top 5 Stocks (%),Top 3 Sectors (%),No. of Securities,Portfolio P/E,Portfolio P/B,Alpha Score (/12),Beta Score (/6),Sharpe Score (/12),Sortino Score (/4),Std Dev Score (/6),VR Stars,Score (/40),Risk Category,Fund Rating,Top Holdings Count,Fund URL
Zerodha ELSS Tax Saver Nifty Large Midcap 250 Index Dir,equity,equity,Direct,5.23,,,BSE 500 TRI*,INF0R8F01026,152157,2.44,,,,,,,,,250,22.21,15.12,54.07,,21.64,3.39,,,,,,,,,,25,https://www.valueresearchonline.com/funds/43847/
360 ONE Flexicap Dir,equity,equity,Direct,12.04,18.21,,BSE 500 TRI*,INF579M01AS1,151796,2.44,11.32,,6.03,0.99,0.82,1.07,15.76,18.54,56,33.66,19.09,63.66,,26.3,3.87,12,3,6,2,3,4,26,Moderate Risk,Good,25,https://www.valueresearchonline.com/funds/43547/
360 ONE Focused Dir,equity,equity,Direct,7.6,12.33,11.73,BSE 500 TRI*,INF579M01902,131580,2.44,11.32,10.45,1.33,0.92,0.53,0.68,14.4,13.34,28,56.17,32.91,69.51,,26.89,3.92,6,4,2,0,3,3,15,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/28458/
ABSL BSE 500 Momentum 50 Index Fund Dir,equity,equity,Direct,7.87,,,BSE 500 TRI*,INF209KC1589,153736,2.44,,,,,,,,,50,39.77,21.65,60.81,,24.54,5.01,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45377/
ABSL BSE 500 Quality 50 Index Dir,equity,equity,Direct,4.36,,,BSE 500 TRI*,INF209KC1613,153740,2.44,,,,,,,,,50,40.61,21.36,59.41,,23.9,7.85,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45381/
ABSL Bal Bhavishya Yojna Dir,equity,equity,Direct,8.58,12.08,10.37,BSE 500 TRI*,INF209KB1E84,146407,2.44,11.32,10.45,0.9,0.97,0.5,0.67,15.18,13.28,67,29.14,18.44,55.08,,28.04,3.47,6,3,2,0,3,2,14,Moderately High Risk,Poor,25,https://www.valueresearchonline.com/funds/38821/
ABSL Flexi Cap Dir,equity,equity,Direct,11.55,15.93,12.27,BSE 500 TRI*,INF209K01XX1,120564,2.44,11.32,10.45,4.57,0.95,0.76,0.98,14.62,16.82,83,27.86,17.42,56.43,,30.18,3.9,10,4,4,0,3,4,21,Moderate Risk,Good,25,https://www.valueresearchonline.com/funds/15741/
ABSL Focused Dir,equity,equity,Direct,6.67,13.76,11.09,BSE 500 TRI*,INF209K01WE3,119564,2.44,11.32,10.45,2.7,0.9,0.63,0.89,14.08,14.63,29,42.71,23.75,62.47,,27.18,3.3,8,4,4,0,3,3,19,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/15883/
ABSL Retirement 30s Dir,equity,equity,Direct,16.29,16.96,12.83,BSE 500 TRI*,INF209KB1I23,146575,2.44,11.32,10.45,5.07,0.98,0.76,1.02,15.54,17.5,77,25.24,15.08,53.01,,30.07,3.85,12,3,4,2,3,4,24,Moderate Risk,Good,25,https://www.valueresearchonline.com/funds/39181/
Abakkus Flexi Cap Dir,equity,equity,Direct,,,,BSE 500 TRI*,INF2JJD01136,154043,,,,,,,,,,45,33.8,20.21,56.78,,24.84,3.7,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45683/
Angel One Nifty Total Market ETF,equity,equity,Direct,2.99,,,BSE 500 TRI*,INF1J2R01023,153330,2.44,,,,,,,,,752,28.13,19.63,53.19,,22.13,3.16,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44964/
Angel One Nifty Total Market Index Dir,equity,equity,Direct,2.97,,,BSE 500 TRI*,INF1J2R01023,153330,2.44,,,,,,,,,752,28.15,19.64,53.21,,22.82,3.4,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44963/
Angel One Nifty Total Market Momentum Quality 50 ETF,equity,equity,Direct,,,,BSE 500 TRI*,INF1J2R01122,153956,,,,,,,,,,50,49.37,26.02,64.89,,34.05,8.49,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45605/
Angel One Nifty Total Market Momentum Quality 50 Index Dir,equity,equity,Direct,,,,BSE 500 TRI*,INF1J2R01122,153956,,,,,,,,,,50,49.43,26.06,64.96,,30.19,7.67,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45607/
Axis Flexi Cap Dir,equity,equity,Direct,7.3,14.73,9.33,BSE 500 TRI*,INF846K01B28,141925,2.44,11.32,10.45,3.45,0.97,0.65,0.79,15.5,15.83,62,38.74,23.71,59.77,,32.15,4.66,10,3,4,0,3,2,20,Moderate Risk,Poor,25,https://www.valueresearchonline.com/funds/34711/
Axis Focused Dir,equity,equity,Direct,3.33,11.42,4.95,BSE 500 TRI*,INF846K01CQ8,120468,2.44,11.32,10.45,0.98,0.91,0.49,0.69,14.98,12.98,27,53.02,31.75,59.42,,31.27,5.02,6,4,2,0,3,1,15,Moderately High Risk,Poor,25,https://www.valueresearchonline.com/funds/15684/
Axis Nifty 500 Index Dir,equity,equity,Direct,2.52,,,BSE 500 TRI*,INF846K019W9,152731,2.44,,,,,,,,,500,29.39,20.51,53.66,,22.57,3.4,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44413/
Axis Nifty500 Momentum 50 Index Dir,equity,equity,Direct,7.3,,,BSE 500 TRI*,INF846KA1044,153244,2.44,,,,,,,,,50,46.49,25.49,64.66,,26.66,5.57,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44905/
Axis Nifty500 Quality 50 Index Dir,equity,equity,Direct,,,,BSE 500 TRI*,INF846KA1200,153829,,,,,,,,,,50,39.96,22.92,64.31,,22.61,7.15,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45468/
Bajaj Finserv Flexi Cap Dir,equity,equity,Direct,9.46,17.71,,BSE 500 TRI*,INF0QA701342,151895,2.44,11.32,,5.84,0.94,0.82,1.03,15.12,18.04,72,33.13,19.66,59.94,,22.5,4.23,12,4,6,2,3,4,27,Low Risk,Good,25,https://www.valueresearchonline.com/funds/43653/
Bandhan Flexi Cap Dir,equity,equity,Direct,2.22,11.65,10.34,BSE 500 TRI*,INF194K01W62,118424,2.44,11.32,10.45,0.71,0.89,0.5,0.66,13.73,12.52,71,45.63,29.28,63.7,,21.84,3.01,6,4,2,0,4,3,16,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/16501/
Bandhan Focused Dir,equity,equity,Direct,6.34,16.01,12.65,BSE 500 TRI*,INF194K01W21,118421,2.44,11.32,10.45,3.46,0.99,0.62,0.87,16.6,15.98,27,55.64,33.17,62.11,,17.73,2.51,10,3,4,0,3,3,20,Moderate Risk,Average,25,https://www.valueresearchonline.com/funds/16507/
Bandhan Nifty 500 Momentum 50 Index Dir,equity,equity,Direct,7.02,,,BSE 500 TRI*,INF194KB1DP9,150591,2.44,,,,,,,,,50,46.5,25.5,64.65,,26.66,5.57,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44630/
Bandhan Nifty Alpha 50 Index Dir,equity,equity,Direct,11.45,,,BSE 500 TRI*,INF194KB1HA2,152177,2.44,,,,,,,,,50,34.76,20,64.94,,18.19,3.19,,,,,,,,,,25,https://www.valueresearchonline.com/funds/43864/
Bandhan Nifty Total Mkt Index Dir,equity,equity,Direct,2.66,,,BSE 500 TRI*,INF194KB1IK9,152716,2.44,,,,,,,,,752,28.14,19.63,53.29,,22.82,3.4,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44403/
